Year,Month,DistrictID,Duration,StatusID,LoanCount,MaxAmount,MinAmount,TotalAmount,AverageAmount
1993,7,1,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,1,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,1,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,10,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,10,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,10,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,11,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,11,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,11,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,12,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,12,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,12,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,13,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,13,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,13,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,14,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,14,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,14,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,15,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,15,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,15,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,16,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,16,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,16,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,17,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,17,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,17,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,18,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,18,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,18,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,19,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,19,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,19,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,2,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,2,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,2,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,20,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,20,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,20,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,21,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,21,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,21,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,22,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,22,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,22,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,23,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,23,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,23,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,24,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,24,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,24,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,25,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,25,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,25,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,26,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,26,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,26,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,27,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,27,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,27,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,28,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,28,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,28,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,29,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,29,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,29,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,3,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,3,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,3,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,30,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,30,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,30,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,31,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,31,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,31,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,32,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,32,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,32,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,33,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,33,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,33,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,34,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,34,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,34,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,35,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,35,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,35,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,36,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,36,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,36,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,37,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,37,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,37,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,38,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,38,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,38,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,39,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,39,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,39,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,4,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,4,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,4,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,40,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,40,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,40,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,41,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,41,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,41,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,42,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,42,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,42,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,43,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,43,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,7,43,60,A,1,127080.0,127080.0,127080.0,127080.0
