LoanYear,LoanMonth,DistrictID,Duration,StatusID,LoanCount,MaxAmount,MinAmount,TotalAmount,AverageAmount
1993,7,30,12,B,1,96396.0,96396.0,96396.0,96396.0
1993,7,45,60,A,1,127080.0,127080.0,127080.0,127080.0
1993,7,46,36,A,1,165960.0,165960.0,165960.0,165960.0
1993,8,12,36,A,1,105804.0,105804.0,105804.0,105804.0
1993,9,1,60,A,1,274740.0,274740.0,274740.0,274740.0
1993,9,13,24,A,1,87840.0,87840.0,87840.0,87840.0
1993,9,15,12,A,1,52788.0,52788.0,52788.0,52788.0
1993,9,24,24,B,1,174744.0,174744.0,174744.0,174744.0
1993,10,18,48,A,1,154416.0,154416.0,154416.0,154416.0
1993,11,14,24,A,1,117024.0,117024.0,117024.0,117024.0
1993,11,44,24,A,1,79608.0,79608.0,79608.0,79608.0
1993,11,55,36,A,1,21924.0,21924.0,21924.0,21924.0
1993,12,1,12,A,1,38148.0,38148.0,38148.0,38148.0
1993,12,11,12,A,1,86616.0,86616.0,86616.0,86616.0
1993,12,49,36,A,1,95400.0,95400.0,95400.0,95400.0
1993,12,54,24,B,1,75624.0,75624.0,75624.0,75624.0
1993,12,6,60,B,1,464520.0,464520.0,464520.0,464520.0
1993,12,63,36,A,1,93888.0,93888.0,93888.0,93888.0
1993,12,64,12,A,1,47016.0,47016.0,47016.0,47016.0
1993,12,68,60,A,1,259740.0,259740.0,259740.0,259740.0
1994,1,1,12,A,1,24516.0,24516.0,24516.0,24516.0
1994,1,1,24,A,2,80952.0,80952.0,161904.0,80952.0
1994,1,1,36,A,1,108144.0,108144.0,108144.0,108144.0
1994,1,4,24,A,1,21072.0,21072.0,21072.0,21072.0
1994,1,68,60,C,1,253200.0,253200.0,253200.0,253200.0
1994,2,1,12,A,1,78936.0,78936.0,78936.0,78936.0
1994,2,11,48,A,1,149040.0,149040.0,149040.0,149040.0
1994,2,24,12,B,1,49320.0,49320.0,49320.0,49320.0
1994,2,40,60,C,1,300660.0,300660.0,300660.0,300660.0
1994,2,50,36,A,1,197748.0,197748.0,197748.0,197748.0
1994,3,38,36,A,1,212400.0,212400.0,212400.0,212400.0
1994,3,39,24,A,1,91200.0,91200.0,91200.0,91200.0
1994,3,48,24,A,1,7656.0,7656.0,7656.0,7656.0
1994,3,64,24,A,1,55368.0,55368.0,55368.0,55368.0
1994,3,7,12,A,1,91632.0,91632.0,91632.0,91632.0
1994,3,74,24,A,1,51696.0,51696.0,51696.0,51696.0
1994,3,75,36,A,1,182628.0,182628.0,182628.0,182628.0
1994,4,44,60,C,1,149340.0,149340.0,149340.0,149340.0
1994,4,54,12,A,1,65184.0,65184.0,65184.0,65184.0
1994,4,62,60,C,1,167100.0,167100.0,167100.0,167100.0
1994,5,1,36,B,1,215388.0,215388.0,215388.0,215388.0
1994,5,10,60,C,1,272520.0,272520.0,272520.0,272520.0
1994,5,11,12,A,1,80340.0,80340.0,80340.0,80340.0
1994,5,12,12,B,1,76908.0,76908.0,76908.0,76908.0
1994,5,16,12,A,1,24312.0,24312.0,24312.0,24312.0
1994,5,20,12,A,1,97632.0,97632.0,97632.0,97632.0
1994,5,23,48,A,1,196080.0,196080.0,196080.0,196080.0
1994,5,4,48,A,1,63312.0,63312.0,63312.0,63312.0
1994,5,41,24,A,1,25944.0,25944.0,25944.0,25944.0
1994,5,66,12,A,1,104808.0,104808.0,104808.0,104808.0
1994,5,72,36,A,1,193968.0,193968.0,193968.0,193968.0
1994,5,77,60,C,1,89040.0,89040.0,89040.0,89040.0
1994,6,1,24,A,1,91584.0,91584.0,91584.0,91584.0
1994,6,1,48,A,1,208320.0,208320.0,208320.0,208320.0
1994,6,1,60,C,1,288360.0,288360.0,288360.0,288360.0
1994,6,11,48,A,1,69360.0,69360.0,69360.0,69360.0
1994,6,15,48,B,1,87216.0,87216.0,87216.0,87216.0
1994,6,27,36,A,1,300204.0,300204.0,300204.0,300204.0
1994,6,30,24,A,1,52128.0,52128.0,52128.0,52128.0
1994,6,34,24,B,1,174744.0,174744.0,174744.0,174744.0
1994,6,38,24,A,1,87360.0,87360.0,87360.0,87360.0
1994,6,40,60,C,1,239460.0,239460.0,239460.0,239460.0
1994,6,44,12,A,1,77640.0,77640.0,77640.0,77640.0
1994,6,56,60,C,1,244560.0,244560.0,244560.0,244560.0
1994,6,66,24,A,1,151560.0,151560.0,151560.0,151560.0
1994,7,1,12,A,1,39576.0,39576.0,39576.0,39576.0
1994,7,1,36,A,1,131292.0,131292.0,131292.0,131292.0
1994,7,1,60,D,1,252060.0,252060.0,252060.0,252060.0
1994,7,11,60,C,1,50460.0,50460.0,50460.0,50460.0
1994,7,12,24,A,1,143904.0,143904.0,143904.0,143904.0
1994,7,19,24,A,1,111384.0,111384.0,111384.0,111384.0
1994,7,45,36,A,1,74736.0,74736.0,74736.0,74736.0
1994,7,54,48,B,1,208128.0,208128.0,208128.0,208128.0
1994,7,56,36,B,1,276660.0,276660.0,276660.0,276660.0
1994,7,63,12,A,1,4980.0,4980.0,4980.0,4980.0
1994,7,67,36,B,1,299088.0,299088.0,299088.0,299088.0
1994,7,77,24,A,1,173808.0,173808.0,173808.0,173808.0
1994,8,1,36,A,1,120888.0,120888.0,120888.0,120888.0
1994,8,1,48,A,1,323472.0,323472.0,323472.0,323472.0
1994,8,10,48,A,1,172080.0,172080.0,172080.0,172080.0
1994,8,23,12,A,1,74688.0,74688.0,74688.0,74688.0
1994,8,31,36,A,1,224604.0,224604.0,224604.0,224604.0
1994,8,47,60,C,1,189300.0,189300.0,189300.0,189300.0
1994,8,55,12,A,1,14628.0,14628.0,14628.0,14628.0
1994,8,55,24,A,1,121896.0,121896.0,121896.0,121896.0
1994,8,66,24,A,1,79632.0,79632.0,79632.0,79632.0
1994,8,67,12,A,1,45768.0,45768.0,45768.0,45768.0
1994,9,32,12,A,1,87816.0,87816.0,87816.0,87816.0
1994,9,38,12,A,1,23628.0,23628.0,23628.0,23628.0
1994,9,50,24,A,1,141240.0,141240.0,141240.0,141240.0
1994,9,52,48,A,1,209184.0,209184.0,209184.0,209184.0
1994,9,54,12,A,1,23052.0,23052.0,23052.0,23052.0
1994,9,55,12,A,1,71460.0,71460.0,71460.0,71460.0
1994,9,60,12,A,1,82896.0,82896.0,82896.0,82896.0
1994,9,60,24,B,1,189696.0,189696.0,189696.0,189696.0
1994,9,68,12,A,1,41904.0,41904.0,41904.0,41904.0
1994,9,74,36,B,1,230220.0,230220.0,230220.0,230220.0
1994,10,1,24,A,1,11736.0,11736.0,11736.0,11736.0
1994,10,16,24,A,1,170256.0,170256.0,170256.0,170256.0
1994,10,60,36,A,1,192744.0,192744.0,192744.0,192744.0
1994,10,64,36,A,1,227880.0,227880.0,227880.0,227880.0
1994,10,65,24,A,1,98184.0,98184.0,98184.0,98184.0
