1,2452.00,NULL,375174.50
10,9324.00,NULL,1712906.10
100,14161.00,NULL,2374913.60
1000,NULL,NULL,2505434.40
1001,2291.00,NULL,173293.20
1002,2135.00,NULL,183861.60
10023,8107.00,99300.00,1517414.80
1003,3462.00,NULL,291655.00
1004,2473.00,NULL,154910.00
10040,14799.80,155880.00,4798360.80
10041,14799.80,155880.00,4798360.80
10043,8260.00,74736.00,2912953.20
10046,NULL,NULL,3775132.70
1006,3059.00,NULL,436823.50
10066,4190.30,NULL,1304101.60
1007,3059.00,NULL,436823.50
10070,1993.60,NULL,1860338.80
10075,18316.70,238716.00,2533286.80
10076,5827.00,29784.00,1127535.70
10077,5827.00,29784.00,1127535.70
1008,9250.00,NULL,2915866.60
1009,NULL,NULL,124027.60
10090,7356.00,97980.00,898897.20
10095,6695.00,80340.00,5747542.20
10096,6695.00,80340.00,5747542.20
101,5623.00,NULL,311173.70
1010,NULL,NULL,124027.60
1011,4254.00,NULL,2466102.00
1012,4606.00,NULL,1759599.20
1013,4606.00,NULL,1759599.20
1014,2109.00,NULL,689962.60
10145,1280.00,NULL,5858456.70
1015,3278.00,NULL,431708.00
10159,3017.20,36204.00,987028.50
1016,3278.00,NULL,431708.00
1017,1980.00,NULL,147270.10
1018,14171.00,NULL,5667814.40
1019,9651.00,NULL,579279.00
10198,6239.20,224604.00,6075871.00
10199,6239.20,224604.00,6075871.00
102,2162.00,NULL,444893.80
1020,7795.50,187104.00,2848798.60
10200,8796.80,87840.00,3241919.10
10201,8796.80,87840.00,3241919.10
10209,8228.00,8616.00,789710.00
1021,NULL,NULL,428587.90
1022,6015.00,NULL,607520.10
1023,NULL,NULL,1046089.20
1024,14811.00,NULL,1342892.80
1025,6225.00,NULL,3371285.70
1026,2082.00,NULL,72875.80
10269,5616.20,134784.00,4508100.40
1027,6051.00,NULL,1181687.70
10273,14266.20,309660.00,1523626.90
10274,14266.20,309660.00,1523626.90
10275,8525.00,89040.00,1805687.80
10276,8525.00,89040.00,1805687.80
1028,6051.00,NULL,1181687.70
10282,11804.20,247728.00,2572064.10
10287,4027.00,7656.00,3137644.50
10288,4027.00,7656.00,3137644.50
1029,6147.00,87216.00,1414469.80
103,2162.00,NULL,444893.80
1030,6608.00,NULL,1774388.60
10303,1303.20,NULL,1660724.90
1031,5737.00,NULL,931931.20
1032,3019.00,NULL,560318.10
1033,3019.00,NULL,560318.10
1034,5456.00,NULL,1416389.70
1035,3930.00,NULL,368036.60
10350,13140.80,417060.00,2796736.50
10351,13140.80,417060.00,2796736.50
10355,15729.80,333648.00,2750901.50
1036,3930.00,NULL,368036.60
1037,8071.00,NULL,1993173.10
1038,9583.00,NULL,2506370.80
10382,12286.00,266220.00,2663870.00
10389,12996.30,220620.00,2361485.00
1039,3122.00,NULL,6774346.90
1040,10520.30,NULL,5897550.70
1041,3699.00,NULL,227886.10
1042,2294.00,NULL,212837.30
1043,2294.00,NULL,212837.30
1044,4851.00,NULL,1977944.80
1045,12943.00,NULL,747196.40
10459,5206.00,21072.00,1089597.10
1046,6358.00,NULL,394380.90
1047,NULL,NULL,41300.00
10475,11205.00,265320.00,2392613.60
10476,11205.00,265320.00,2392613.60
10479,5834.00,85860.00,1395686.10
1048,4562.00,NULL,709739.80
1049,5168.00,NULL,1516438.50
10492,3570.00,42840.00,702287.60
105,2268.00,NULL,184674.30
1050,2762.00,NULL,302414.30
1051,7604.00,178500.00,355596.80
10510,19935.30,74688.00,5581760.80
10511,19935.30,74688.00,5581760.80
10517,7753.30,93036.00,2527429.90
1052,9720.30,NULL,1204572.50
10528,3626.00,174048.00,3134030.30
1053,9720.30,NULL,1204572.50
1054,3837.00,NULL,536500.80
10543,4806.50,173016.00,3408358.70
1055,3796.00,NULL,165581.80
10555,4806.50,288360.00,2032180.80
1056,3628.00,NULL,440701.20
10563,15848.00,76680.00,5258136.90
10564,15848.00,76680.00,5258136.90
10566,15843.80,230220.00,3063510.40
1057,3943.00,NULL,1496434.40
1058,2094.00,NULL,106285.30
1059,6530.10,NULL,908532.90
106,NULL,NULL,159211.90
1060,6530.10,NULL,908532.90
1062,3306.00,NULL,1724094.20
1063,3306.00,NULL,1724094.20
10636,10121.80,47304.00,6332027.30
10639,NULL,NULL,1530267.70
1064,8406.00,NULL,2143651.00
1065,2259.00,NULL,404011.20
10654,3094.50,185640.00,637949.30
1066,3292.00,NULL,2959750.80
10662,12934.00,240900.00,639156.70
1067,9034.00,NULL,2625507.30
1068,3009.00,NULL,607098.20
1069,1592.00,NULL,304112.00
107,9882.00,NULL,2839833.80
1070,1592.00,NULL,304112.00
10702,14545.20,85716.00,1082894.00
10703,14545.20,85716.00,1082894.00
1071,3257.00,NULL,96433.20
10714,5665.00,67980.00,929536.80
1072,3136.00,NULL,1127684.50
1073,1784.00,NULL,335583.60
1074,1784.00,NULL,335583.60
10746,2845.00,170700.00,758008.90
1075,2915.00,NULL,814760.20
1076,NULL,NULL,2065006.00
1077,2914.00,NULL,525347.20
10777,9154.00,33144.00,778244.50
10778,9154.00,33144.00,778244.50
1078,1977.00,NULL,189426.10
1079,3220.00,NULL,902042.20
10798,1562.10,NULL,4199034.10
108,NULL,NULL,537083.80
1080,9586.00,NULL,4782138.90
1081,4464.00,NULL,1262723.80
10813,9196.30,88272.00,751250.60
10818,708.00,33984.00,1483751.30
1082,1626.60,NULL,2303831.90
10828,10195.00,74352.00,2052077.60
1083,5950.00,NULL,1107816.80
1084,5950.00,NULL,1107816.80
1085,1910.00,NULL,468791.70
1086,3855.00,NULL,1182639.10
1087,3855.00,NULL,1182639.10
1088,2580.00,NULL,512308.90
1089,NULL,NULL,2233567.00
1090,6176.00,NULL,478108.60
1091,2240.00,NULL,65874.10
10912,NULL,NULL,4174333.80
1092,2118.00,NULL,510630.80
1093,NULL,NULL,605079.70
1094,1950.00,NULL,75741.30
1095,1950.00,NULL,75741.30
1096,1937.00,NULL,207706.90
10960,2474.60,NULL,3384064.10
10963,5801.80,125340.00,4663429.40
1097,1937.00,NULL,207706.90
