255,212,7619102.40
4251,3521,7401229.20
4252,3521,7401229.20
3335,2762,7399357.60
1359,1132,7386440.30
1360,1132,7386440.30
3430,2838,7365804.70
548,456,7338613.40
2688,2219,7333024.60
1239,1032,7327494.10
6317,5228,7117524.80
6318,5228,7117524.80
12102,9833,7037938.10
4428,3674,6941710.40
6191,5129,6939091.10
6367,5270,6937453.10
4429,3675,6936835.10
4430,3675,6936835.10
3001,2486,6910402.40
5200,4318,6872363.40
5201,4318,6872363.40
1039,862,6774346.90
3522,2915,6769370.20
114,96,6749839.00
115,96,6749839.00
1556,1286,6610663.10
2715,2242,6546128.80
11331,9203,6516182.30
5204,4321,6513937.40
3667,3035,6421043.80
3668,3035,6421043.80
2762,2282,6391715.50
13539,11013,6376283.80
4293,3558,6358102.70
4294,3558,6358102.70
9593,7753,6346623.20
8091,6701,6336079.00
10636,8625,6332027.30
5445,4514,6329873.20
8598,7123,6326820.50
2058,1695,6288972.00
13451,10942,6275675.70
3336,2763,6273891.40
3944,3260,6270956.80
3945,3260,6270956.80
13490,10973,6246852.00
3548,2938,6226227.30
2626,2170,6188135.50
2197,1813,6083680.00
3687,3050,6079276.80
3688,3050,6079276.80
10198,8260,6075871.00
10199,8260,6075871.00
321,266,6031363.80
1946,1605,6027802.80
2922,2419,6025956.80
3498,2894,6009278.50
1762,1453,5975499.60
1246,1039,5955593.50
1247,1039,5955593.50
4565,3786,5923504.00
2808,2321,5911059.80
12432,10105,5903640.00
1040,863,5897550.70
77,66,5879317.10
531,441,5860452.40
532,441,5860452.40
10145,8212,5858456.70
39,31,5807677.50
3405,2818,5780995.40
3406,2818,5780995.40
7521,6226,5779370.50
689,574,5774233.50
10095,8173,5747542.20
10096,8173,5747542.20
876,730,5678818.70
1018,844,5667814.40
13113,10663,5658114.70
5722,4743,5652045.40
8726,7231,5649362.20
750,624,5643693.90
3049,2527,5627031.70
3050,2527,5627031.70
4477,3713,5621797.00
4478,3713,5621797.00
4238,3510,5619323.40
3211,2660,5616257.00
3519,2912,5610280.70
3540,2932,5608772.80
3541,2932,5608772.80
9933,8041,5601309.30
11886,9656,5595682.40
11409,9265,5590851.20
10510,8519,5581760.80
10511,8519,5581760.80
4663,3869,5576966.90
13657,11111,5552105.30
13658,11111,5552105.30
2566,2122,5550771.80
980,816,5550743.70
583,485,5547435.10
13123,10670,5504312.70
7815,6473,5475280.60
9915,8027,5473619.00
2698,2227,5462143.70
2699,2227,5462143.70
6731,5574,5459717.80
11794,9583,5439566.50
11795,9583,5439566.50
4536,3760,5438918.50
5133,4259,5438813.60
5392,4470,5409917.30
3197,2651,5405675.90
3198,2651,5405675.90
364,299,5390884.40
2684,2216,5374333.90
13690,11138,5371586.00
9611,7769,5364644.30
9715,7857,5347214.70
1209,1005,5339148.50
12396,10079,5318335.70
12397,10079,5318335.70
2873,2378,5315969.90
10563,8564,5258136.90
10564,8564,5258136.90
5275,4377,5251537.10
3103,2572,5248307.60
4974,4131,5242155.20
4975,4131,5242155.20
6789,5622,5242040.80
9973,8073,5190125.50
626,521,5187497.10
5965,4937,5179029.40
2057,1694,5169792.40
11947,9707,5150639.50
267,222,5135581.30
7127,5891,5134747.60
226,186,5133105.80
5056,4195,5112269.70
2982,2471,5095915.30
2983,2471,5095915.30
13201,10738,5091422.10
5224,4337,5075329.50
3298,2732,5059817.90
13548,11021,5041763.70
289,239,5026138.80
3542,2933,5018901.50
3543,2933,5018901.50
12843,10439,5010866.80
6616,5481,5008621.80
9641,7795,4997272.70
9642,7795,4997272.70
5347,4434,4989705.50
11461,9307,4964542.00
6417,5313,4957008.30
4916,4079,4943003.70
2879,2384,4937619.00
55,47,4933893.40
1831,1511,4931190.60
294,243,4925410.00
7814,6472,4900473.30
7195,5952,4888203.20
2719,2245,4887049.70
839,699,4886608.00
1505,1247,4873625.00
2542,2099,4869950.00
2543,2099,4869950.00
3011,2494,4868985.60
6052,5011,4866812.60
2403,1978,4863125.90
2633,2175,4853315.70
3576,2962,4846354.80
97,82,4840822.30
2148,1772,4837986.30
3763,3112,4823288.00
3764,3112,4823288.00
11943,9703,4804066.90
10040,8127,4798360.80
10041,8127,4798360.80
1619,1338,4791785.70
1620,1338,4791785.70
6485,5372,4790257.40
9226,7445,4787826.40
1080,897,4782138.90
1204,1000,4779742.90
5409,4484,4773864.40
3573,2959,4766297.70
2181,1801,4751818.50
8327,6897,4750518.80
3172,2628,4739570.60
2390,1965,4724353.80
11851,9627,4705145.50
2941,2435,4702010.00
4139,3424,4697002.30
12416,10093,4696528.60
12417,10093,4696528.60
5366,4448,4689696.80
5367,4448,4689696.80
6544,5422,4686627.20
6545,5422,4686627.20
4979,4134,4684578.00
3319,2749,4682157.30
3320,2749,4682157.30
3765,3113,4682039.80
441,363,4666559.40
10963,8899,4663429.40
6551,5428,4661952.60
6478,5366,4657379.60
2431,2001,4647136.60
5128,4255,4608526.50
12095,9828,4607543.00
2216,1828,4602266.40
2217,1828,4602266.40
3178,2633,4591076.80
1492,1237,4565111.40
38,30,4561803.20
3589,2972,4555198.10
3148,2609,4532707.30
3149,2609,4532707.30
471,390,4524435.90
2929,2424,4521182.50
78,67,4518164.00
11093,9006,4509795.10
10269,8316,4508100.40
6803,5632,4506990.80
6804,5632,4506990.80
3382,2799,4503889.40
3383,2799,4503889.40
12163,9883,4488095.80
11662,9472,4485996.60
6178,5120,4469648.80
7291,6034,4468707.40
1427,1184,4467812.00
2975,2464,4419575.20
7100,5868,4414052.30
12625,10266,4400789.20
4113,3402,4399829.70
3782,3127,4392788.60
11063,8982,4389204.80
11064,8982,4389204.80
1157,960,4387308.10
2686,2218,4380618.10
2687,2218,4380618.10
11136,9041,4379955.40
11804,9591,4371077.30
3454,2859,4362100.70
3455,2859,4362100.70
2092,1725,4352249.10
2846,2355,4351446.50
42,34,4342630.50
6567,5442,4338747.40
4863,4035,4334780.90
457,377,4329990.50
1862,1536,4318743.60
273,227,4315032.80
593,494,4308198.00
12003,9750,4306929.00
2129,1757,4297859.30
1366,1136,4295198.40
2066,1701,4288568.40
5111,4240,4283351.80
5318,4413,4279384.70
5319,4413,4279384.70
7914,6555,4243596.70
5911,4894,4237685.80
4518,3745,4237075.40
13750,11186,4222458.40
13751,11186,4222458.40
9702,7844,4208565.70
10798,8759,4199034.10
3107,2576,4193695.00
3108,2576,4193695.00
12378,10065,4191021.70
13406,10906,4190954.10
4837,4014,4182710.20
10912,8856,4174333.80
1717,1416,4174277.80
352,290,4172353.10
3829,3166,4153098.90
3477,2877,4149211.20
479,397,4138757.90
480,397,4138757.90
4077,3371,4116512.10
4067,3364,4113052.90
3935,3253,4109440.40
2166,1787,4108891.90
8064,6678,4104026.60
649,539,4099490.30
9417,7606,4094533.50
5312,4408,4091389.10
5313,4408,4091389.10
1408,1169,4087574.40
2635,2176,4076265.90
3136,2600,4070520.20
5152,4276,4057843.40
3258,2700,4043410.10
13620,11079,4041890.80
6299,5213,4033301.60
1133,940,4031929.60
1134,940,4031929.60
4507,3735,4027859.40
4020,3326,4014052.20
4396,3646,4006596.90
4397,3646,4006596.90
2302,1896,3984612.80
779,649,3981438.80
9427,7614,3976122.60
9428,7614,3976122.60
9945,8051,3966074.30
9946,8051,3966074.30
1765,1456,3965442.20
5028,4171,3964878.20
6546,5423,3963988.20
13955,11349,3957372.20
13956,11349,3957372.20
2530,2087,3951956.90
1836,1515,3950605.10
6114,5065,3948807.60
424,347,3945704.70
1102,915,3941740.00
880,733,3936514.10
2555,2111,3931480.80
5521,4580,3929811.20
458,378,3926899.90
4584,3804,3920229.90
2185,1804,3919165.50
3962,3273,3915480.20
9366,7562,3908326.80
4563,3785,3907371.20
4564,3785,3907371.20
2122,1750,3906271.80
3689,3051,3892869.00
5433,4503,3892353.60
12577,10227,3888081.20
2968,2458,3887111.00
1213,1009,3872824.90
1952,1610,3871815.40
1953,1610,3871815.40
4901,4066,3861568.80
11004,8931,3835512.90
4942,4103,3833671.60
1917,1583,3824773.60
3898,3223,3817777.10
1260,1050,3806547.70
1261,1050,3806547.70
